unixtime,Open,High,Low,Close,ma200,ma50,ema21,ema8
1430452800.0,79.23999786376953,79.76000213623047,78.11000061035156,78.98999786376953,77.20604991912842,81.2266000366211,81.46652762798453,80.6012614347859
1430712000.0,79.33000183105469,79.69000244140625,78.62999725341797,78.80999755859375,77.26804988861085,81.20479995727538,81.22502489440356,80.20320279563208
1430798400.0,78.55000305175781,78.80000305175781,77.22000122070312,77.55999755859375,77.31374988555908,81.17919998168945,80.89184059114811,79.61582385406801
1430884800.0,77.97000122070312,78.80999755859375,77.05000305175781,78.0999984741211,77.3572498703003,81.17220001220703,80.63803676232747,79.27897376963537
1430971200.0,78.0,78.94000244140625,77.55999755859375,78.43000030517578,77.40304988861084,81.14960006713868,80.43730617531368,79.09031299975547
1431057600.0,79.0999984741211,79.2300033569336,78.02999877929688,78.51000213623047,77.43914989471436,81.1116000366211,80.2620967172152,78.96135503008324
1431316800.0,78.4800033569336,79.02999877929688,77.93000030517578,78.01000213623047,77.45429988861083,81.09240005493164,80.05736084621658,78.74994327589374
1431403200.0,77.87000274658203,77.88999938964844,76.79000091552734,77.45999908447266,77.46564987182617,81.0466000366211,79.8212370496944,78.4632890111335
1431489600.0,77.72000122070312,78.52999877929688,77.6500015258789,78.44000244140625,77.48324989318847,81.0234001159668,79.69567026712275,78.45811421786078
1431576000.0,78.94000244140625,81.8499984741211,78.66999816894531,81.37000274658203,77.52154991149902,81.03280014038086,79.84788231070995,79.10520055757661
1431662400.0,81.41000366210938,81.5199966430664,80.18000030517578,80.41999816894531,77.55024990081787,81.01700012207031,79.8998928432768,79.39737780454743
1431921600.0,80.33000183105469,81.37999725341797,80.2300033569336,80.87999725341797,77.59139987945557,81.03440002441407,79.98899324419872,79.72684879318533
1432008000.0,81.25,81.69000244140625,80.55000305175781,80.62999725341797,77.63274986267089,81.0581999206543,80.04726633594592,79.9275484510148
1432094400.0,80.47000122070312,81.0999984741211,79.45999908447266,80.55000305175781,77.66794986724854,81.11819992065429,80.09296967374699,80.06587169562435
1432180800.0,80.19000244140625,80.91999816894531,80.08000183105469,80.4800033569336,77.70689987182617,81.17639999389648,80.12815455403668,80.15790095369307
1432267200.0,80.3499984741211,81.30999755859375,80.25,80.54000091552734,77.7472498703003,81.20860000610351,80.16559513235401,80.2428120563229
1432612800.0,80.43000030517578,80.5999984741211,79.08000183105469,79.33000183105469,77.77804988861084,81.23419998168946,80.08963210496317,80.03996533959663
1432699200.0,79.5999984741211,80.66000366210938,79.43000030517578,80.55000305175781,77.81549991607666,81.28380004882813,80.13148400921722,80.15330705341023
1432785600.0,80.25,81.06999969482422,80.0,80.1500015258789,77.84904991149902,81.29960006713867,80.13316741982283,80.1525724917366
1432872000.0,79.94999694824219,80.06999969482422,78.87999725341797,79.19000244140625,77.88084991455078,81.26520004272462,80.04742514905769,79.93866803610763
1433131200.0,79.30000305175781,80.37999725341797,78.66000366210938,80.29000091552734,77.91344993591309,81.21600006103516,80.06947749146403,80.01674200931201
1433217600.0,79.76000213623047,81.3499984741211,79.55999755859375,80.44000244140625,77.94414993286132,81.14880004882812,80.1031615778224,80.11079988311073
1433304000.0,81.3499984741211,82.52999877929688,81.25,82.44000244140625,77.98819995880127,81.10900009155273,80.31560165633003,80.62840045162085
1433390400.0,82.13999938964844,82.94999694824219,81.51000213623047,82.05000305175781,78.02549999237061,81.04380020141602,80.47327451045983,80.94431214054018
